"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"04_Fagus_France_Massif_Central_North" "04" "France Massif Central North" 0.999978 0.0820009 0.0568814 0.0745634 FALSE "Fagus_France_Massif_Central_North" 0.12 6 TRUE 0.313818985694521 0.113862075368961 0.0406987740665856 0.0165429629125292 0.00663398866559303 0.00298153705719343 0.00140052454843938 0.000650289493787387 0.000332198627016628 0.00016794168429301 9.24166029425227e-05 5.25489473264187e-05 2.96149761193104e-05 1.79215041571409e-05 1.07588825805706e-05 6.88087544463825e-06 4.50925722529588e-06 2.93503922287649e-06 2.01476621688302e-06 1.37464428532647e-06
"04_Fagus_Iran_Alborz_Mountains" "04" "Iran Alborz Mountains" NA NA NA NA FALSE "Fagus_Iran_Alborz_Mountains" 0.0204081632653061 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_Italy_Passo_Fittanze" "04" "Italy Passo Fittanze" NA NA NA NA FALSE "Fagus_Italy_Passo_Fittanze" 0.06 3 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_Romania_SE_Carpathians" "04" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_Slovakia_Middle_Region" "04" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Fagus_Slovenia_Dinarsko" "04" "Slovenia Dinarsko" 0.99569 0.0497221 0.16681 0.090739 FALSE "Fagus_Slovenia_Dinarsko" 0.163265306122449 8 TRUE 0.572095259068764 0.373977936567155 0.261221348990876 0.192932908202796 0.149357131199986 0.120300448498115 0.100193672924411 0.0858384286470695 0.0753156673885247 0.0674285993261281 0.0614048673287475 0.0567306007705676 0.0530544696929747 0.05013033887492 0.0477819509477822 0.0458805782542914 0.0443305278049631 0.0430595251864995 0.0420122015335298 0.0411455969547882
"04_Fagus_Switzerland_Salenstein" "04" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_Austria_Randgebirge_South" "05" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_France_Massif_Armoricain" "05" "France Massif Armoricain" NA NA NA NA TRUE "Fagus_France_Massif_Armoricain" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Fagus_France_Massif_Central_North" "05" "France Massif Central North" NA NA NA NA TRUE "Fagus_France_Massif_Central_North" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
