Date GDD
2022-02-22 0
2022-02-23 0
2022-02-24 0
2022-02-25 0
2022-02-26 0
2022-02-27 0
2022-02-28 0
2022-03-01 0
2022-03-02 0
2022-03-03 0
2022-03-04 0
2022-03-05 0
2022-03-06 0
2022-03-07 0
2022-03-08 0
2022-03-09 0
2022-03-10 0
2022-03-11 0
2022-03-12 0
2022-03-13 0
2022-03-14 0
2022-03-15 0.25000000000006
2022-03-16 0.25000000000006
2022-03-17 0.25000000000006
2022-03-18 0.25000000000006
2022-03-19 0.25000000000006
2022-03-20 0.25000000000006
2022-03-21 0.30000000000007
2022-03-22 3.55000000000013
2022-03-23 8.00000000000018
2022-03-24 11.5500000000002
2022-03-25 15.0000000000002
2022-03-26 21.0500000000002
2022-03-27 24.4000000000003
2022-03-28 28.7500000000003
2022-03-29 36.5000000000004
2022-03-30 44.0500000000004
2022-03-31 50.3000000000005
2022-04-01 55.2500000000005
2022-04-02 55.2500000000005
2022-04-03 55.2500000000005
2022-04-04 55.2500000000005
2022-04-05 56.9000000000006
2022-04-06 62.7500000000006
2022-04-07 69.3000000000006
2022-04-08 77.6500000000006
2022-04-09 82.0000000000006
2022-04-10 84.0500000000006
2022-04-11 84.9000000000006
2022-04-12 86.2500000000006
2022-04-13 89.5000000000007
2022-04-14 95.7500000000008
2022-04-15 103.000000000001
2022-04-16 107.250000000001
2022-04-17 109.300000000001
2022-04-18 110.050000000001
2022-04-19 111.000000000001
2022-04-20 114.050000000001
2022-04-21 118.200000000001
2022-04-22 124.550000000001
2022-04-23 129.200000000001
2022-04-24 136.050000000001
2022-04-25 144.800000000001
2022-04-26 151.850000000001
2022-04-27 160.500000000001
2022-04-28 169.350000000001
2022-04-29 178.500000000001
2022-04-30 187.650000000001
2022-05-01 197.000000000001
2022-05-02 207.350000000001
2022-05-03 217.500000000001
2022-05-04 227.750000000001
2022-05-05 238.300000000001
2022-05-06 249.750000000001
2022-05-07 261.300000000001
2022-05-08 273.550000000001
2022-05-09 286.400000000001
2022-05-10 298.650000000002
2022-05-11 311.800000000002
2022-05-12 328.750000000002
2022-05-13 341.900000000002
2022-05-14 354.350000000002
2022-05-15 367.100000000002
2022-05-16 379.850000000002
2022-05-17 392.400000000002
2022-05-18 401.350000000002
2022-05-19 412.000000000002
2022-05-20 426.450000000002
2022-05-21 441.800000000002
2022-05-22 453.850000000002
2022-05-23 463.300000000002
2022-05-24 475.550000000002
2022-05-25 490.700000000002
2022-05-26 505.650000000002
2022-05-27 521.600000000002
2022-05-28 533.850000000002
2022-05-29 543.200000000002
2022-05-30 556.350000000002
2022-05-31 570.900000000002
2022-06-01 586.450000000002
2022-06-02 602.900000000002
2022-06-03 620.650000000002
2022-06-04 634.500000000002
2022-06-05 649.650000000002
2022-06-06 665.200000000002
2022-06-07 683.050000000002
2022-06-08 701.300000000002
2022-06-09 718.450000000002
2022-06-10 735.800000000002
2022-06-11 752.850000000002
2022-06-12 770.200000000002
2022-06-13 787.550000000002
2022-06-14 801.200000000002
2022-06-15 814.650000000002
2022-06-16 831.300000000002
2022-06-17 846.750000000002
2022-06-18 862.800000000002
2022-06-19 881.950000000002
2022-06-20 903.200000000002
2022-06-21 919.350000000002
2022-06-22 934.600000000002
2022-06-23 950.150000000002
2022-06-24 967.600000000002
2022-06-25 986.750000000002
2022-06-26 1006.6
2022-06-27 1026.15
2022-06-28 1047.2
2022-06-29 1069.65
2022-06-30 1093.3
2022-07-01 1117.65
2022-07-02 1138.4
2022-07-03 1159.65
2022-07-04 1182.3
2022-07-05 1203.45
2022-07-06 1218.9
2022-07-07 1234.85
2022-07-08 1251.8
2022-07-09 1268.05
2022-07-10 1281.3
2022-07-11 1292.95
2022-07-12 1305
2022-07-13 1321.3
2022-07-14 1341.85
2022-07-15 1359.4
2022-07-16 1376.15
2022-07-17 1390.2
2022-07-18 1405.25
2022-07-19 1422.6
2022-07-20 1443.45
2022-07-21 1463.9
2022-07-22 1485.15
2022-07-23 1508.8
2022-07-24 1528.35
2022-07-25 1547.1
2022-07-26 1566.95
2022-07-27 1585.8
2022-07-28 1605.75
2022-07-29 1626.3
2022-07-30 1645.05
2022-07-31 1660.1
2022-08-01 1675.25
2022-08-02 1692.4
2022-08-03 1711.45
2022-08-04 1730.6
2022-08-05 1750.75
2022-08-06 1771.6
2022-08-07 1788.95
2022-08-08 1807.1
2022-08-09 1823.75
2022-08-10 1840.3
2022-08-11 1855.95
2022-08-12 1873.4
2022-08-13 1891.95
2022-08-14 1910.7
2022-08-15 1930.15
2022-08-16 1949.7
2022-08-17 1969.35
2022-08-18 1990.4
2022-08-19 2013.25
2022-08-20 2035.5
2022-08-21 2054.55
2022-08-22 2073.3
2022-08-23 2091.25
2022-08-24 2110.8
2022-08-25 2132.35
2022-08-26 2152.9
2022-08-27 2172.95
2022-08-28 2193.3
2022-08-29 2212.05
2022-08-30 2230.5
2022-08-31 2247.55
2022-09-01 2262.1
2022-09-02 2274.85
2022-09-03 2286.5
2022-09-04 2299.55
2022-09-05 2314.2
2022-09-06 2328.35
2022-09-07 2343.6
2022-09-08 2360.75
2022-09-09 2375
2022-09-10 2387.55
2022-09-11 2398.6
2022-09-12 2408.95
2022-09-13 2419.9
2022-09-14 2430.95
2022-09-15 2446.1
2022-09-16 2459.05
2022-09-17 2468.8
2022-09-18 2475.35
2022-09-19 2480.2
2022-09-20 2484.85
2022-09-21 2491.5
2022-09-22 2498.35
2022-09-23 2504.4
2022-09-24 2510.65
2022-09-25 2518.4
2022-09-26 2526.35
2022-09-27 2535.8
2022-09-28 2544.95
2022-09-29 2554.3
2022-09-30 2564.75
2022-10-01 2575.8
2022-10-02 2584.45
2022-10-03 2591.9
2022-10-04 2598.15
2022-10-05 2604.6
2022-10-06 2612.35
2022-10-07 2622.4
2022-10-08 2631.65
2022-10-09 2639
2022-10-10 2644.65
2022-10-11 2653.6
2022-10-12 2662.25
2022-10-13 2668.5
2022-10-14 2674.55
2022-10-15 2681.5
2022-10-16 2689.35
2022-10-17 2697
2022-10-18 2704.65
2022-10-19 2712.1
2022-10-20 2714.45
2022-10-21 2717.6
2022-10-22 2725.65
2022-10-23 2734
2022-10-24 2743.65
2022-10-25 2753.2
2022-10-26 2760.35
2022-10-27 2767.5
2022-10-28 2773.05
2022-10-29 2780.1
2022-10-30 2787.45
2022-10-31 2793.8
2022-11-01 2800.15
2022-11-02 2807.4
2022-11-03 2812.95
2022-11-04 2818.2
2022-11-05 2824.75000000001
2022-11-06 2830.9
2022-11-07 2836.15000000001
2022-11-08 2840.2
2022-11-09 2844.85
2022-11-10 2850.1
2022-11-11 2853.95000000001
2022-11-12 2858.40000000001
2022-11-13 2860.15000000001
2022-11-14 2860.15000000001
2022-11-15 2861.40000000001
2022-11-16 2864.75000000001
2022-11-17 2866.50000000001
2022-11-18 2866.50000000001
2022-11-19 2866.50000000001
2022-11-20 2866.50000000001
2022-11-21 2866.50000000001
2022-11-22 2866.50000000001
2022-11-23 2866.50000000001
2022-11-24 2866.50000000001
2022-11-25 2866.50000000001
2022-11-26 2866.50000000001
2022-11-27 2866.50000000001
2022-11-28 2866.50000000001
2022-11-29 2866.50000000001
2022-11-30 2866.50000000001
2022-12-01 2866.50000000001
2022-12-02 2866.50000000001
2022-12-03 2866.50000000001
2022-12-04 2866.50000000001
2022-12-05 NA
2022-12-06 NA
2022-12-07 NA
2022-12-08 NA
2022-12-09 NA
2022-12-10 NA
2022-12-11 NA
2022-12-12 NA
2022-12-13 NA
2022-12-14 NA
2022-12-15 NA
2022-12-16 NA
2022-12-17 NA
2022-12-18 NA
2022-12-19 NA
2022-12-20 NA
2022-12-21 NA
2022-12-22 NA
2022-12-23 NA
2022-12-24 NA
2022-12-25 NA
2022-12-26 NA
2022-12-27 NA
2022-12-28 NA
2022-12-29 NA
2022-12-30 NA
2022-12-31 NA
