Date GDD
2022-02-20 1.35000000000002
2022-02-21 1.35000000000002
2022-02-22 1.35000000000002
2022-02-23 1.40000000000003
2022-02-24 1.40000000000003
2022-02-25 1.40000000000003
2022-02-26 1.40000000000003
2022-02-27 1.40000000000003
2022-02-28 1.40000000000003
2022-03-01 1.40000000000003
2022-03-02 1.40000000000003
2022-03-03 1.40000000000003
2022-03-04 1.40000000000003
2022-03-05 1.40000000000003
2022-03-06 1.40000000000003
2022-03-07 1.40000000000003
2022-03-08 1.40000000000003
2022-03-09 1.40000000000003
2022-03-10 1.40000000000003
2022-03-11 1.40000000000003
2022-03-12 1.40000000000003
2022-03-13 1.40000000000003
2022-03-14 1.40000000000003
2022-03-15 1.40000000000003
2022-03-16 2.95000000000004
2022-03-17 5.40000000000009
2022-03-18 7.35000000000014
2022-03-19 7.35000000000014
2022-03-20 7.35000000000014
2022-03-21 7.35000000000014
2022-03-22 7.70000000000016
2022-03-23 10.0500000000002
2022-03-24 13.5000000000002
2022-03-25 16.4500000000003
2022-03-26 20.1000000000003
2022-03-27 23.6500000000003
2022-03-28 26.6000000000004
2022-03-29 28.9500000000004
2022-03-30 30.4000000000004
2022-03-31 31.6500000000005
2022-04-01 32.1000000000005
2022-04-02 32.1000000000005
2022-04-03 32.1000000000005
2022-04-04 32.1000000000005
2022-04-05 32.6500000000006
2022-04-06 35.1000000000006
2022-04-07 38.3500000000007
2022-04-08 42.4000000000007
2022-04-09 43.8500000000007
2022-04-10 43.8500000000007
2022-04-11 44.5000000000008
2022-04-12 46.8500000000008
2022-04-13 50.9000000000008
2022-04-14 57.4500000000008
2022-04-15 63.7000000000009
2022-04-16 68.6500000000009
2022-04-17 71.300000000001
2022-04-18 73.950000000001
2022-04-19 76.500000000001
2022-04-20 78.4500000000011
2022-04-21 80.4000000000011
2022-04-22 83.4500000000011
2022-04-23 87.3000000000011
2022-04-24 90.3500000000011
2022-04-25 93.8000000000012
2022-04-26 98.0500000000013
2022-04-27 102.400000000001
2022-04-28 107.850000000001
2022-04-29 113.800000000001
2022-04-30 119.550000000001
2022-05-01 124.800000000001
2022-05-02 130.350000000001
2022-05-03 136.900000000001
2022-05-04 143.350000000001
2022-05-05 149.700000000001
2022-05-06 155.350000000001
2022-05-07 161.800000000001
2022-05-08 169.950000000001
2022-05-09 178.900000000001
2022-05-10 189.050000000001
2022-05-11 200.600000000001
2022-05-12 213.550000000001
2022-05-13 225.400000000001
2022-05-14 236.650000000002
2022-05-15 249.100000000002
2022-05-16 260.850000000002
2022-05-17 273.600000000002
2022-05-18 285.650000000002
2022-05-19 297.600000000002
2022-05-20 310.350000000002
2022-05-21 324.000000000002
2022-05-22 337.550000000002
2022-05-23 350.500000000002
2022-05-24 362.950000000002
2022-05-25 374.300000000002
2022-05-26 386.050000000002
2022-05-27 399.900000000002
2022-05-28 409.450000000002
2022-05-29 415.300000000002
2022-05-30 422.450000000002
2022-05-31 432.800000000002
2022-06-01 444.550000000002
2022-06-02 457.500000000002
2022-06-03 470.550000000002
2022-06-04 485.900000000002
2022-06-05 501.050000000002
2022-06-06 515.100000000002
2022-06-07 526.850000000002
2022-06-08 539.000000000002
2022-06-09 549.250000000002
2022-06-10 562.700000000002
2022-06-11 576.550000000002
2022-06-12 591.500000000002
2022-06-13 605.150000000002
2022-06-14 618.800000000002
2022-06-15 633.150000000002
2022-06-16 648.500000000002
2022-06-17 664.850000000002
2022-06-18 681.000000000002
2022-06-19 697.550000000002
2022-06-20 713.800000000002
2022-06-21 729.850000000002
2022-06-22 744.600000000003
2022-06-23 760.150000000002
2022-06-24 775.200000000002
2022-06-25 790.350000000003
2022-06-26 807.000000000003
2022-06-27 825.350000000003
2022-06-28 842.300000000002
2022-06-29 857.750000000003
2022-06-30 874.500000000003
2022-07-01 890.250000000003
2022-07-02 907.400000000003
2022-07-03 925.950000000003
2022-07-04 943.900000000003
2022-07-05 960.250000000003
2022-07-06 976.200000000003
2022-07-07 989.550000000003
2022-07-08 1004.3
2022-07-09 1017.55
2022-07-10 1031.4
2022-07-11 1044.45
2022-07-12 1058.5
2022-07-13 1073.85
2022-07-14 1090.5
2022-07-15 1107.35
2022-07-16 1124.5
2022-07-17 1141.65
2022-07-18 1158.3
2022-07-19 1175.65
2022-07-20 1194
2022-07-21 1212.65
2022-07-22 1231.6
2022-07-23 1250.25
2022-07-24 1269.1
2022-07-25 1288.65
2022-07-26 1306
2022-07-27 1321.75
2022-07-28 1337.7
2022-07-29 1353.65
