Date GDD
2022-03-04 0
2022-03-05 0
2022-03-06 0
2022-03-07 0
2022-03-08 0
2022-03-09 0
2022-03-10 1.35000000000002
2022-03-11 1.35000000000002
2022-03-12 1.70000000000004
2022-03-13 2.55000000000006
2022-03-14 3.70000000000009
2022-03-15 3.70000000000009
2022-03-16 4.85000000000012
2022-03-17 6.00000000000015
2022-03-18 6.65000000000018
2022-03-19 7.0000000000002
2022-03-20 8.95000000000025
2022-03-21 12.5000000000003
2022-03-22 17.9500000000003
2022-03-23 23.0000000000003
2022-03-24 28.1500000000003
2022-03-25 32.3000000000003
2022-03-26 37.2500000000003
2022-03-27 43.0000000000004
2022-03-28 49.4500000000004
2022-03-29 53.1000000000005
2022-03-30 54.5500000000005
2022-03-31 54.5500000000005
2022-04-01 54.5500000000005
2022-04-02 54.5500000000005
2022-04-03 54.5500000000005
2022-04-04 54.5500000000005
2022-04-05 57.6000000000005
2022-04-06 61.4500000000005
2022-04-07 64.7000000000006
2022-04-08 64.7000000000006
2022-04-09 64.7000000000006
2022-04-10 64.7000000000006
2022-04-11 66.4500000000007
2022-04-12 73.1000000000007
2022-04-13 83.0500000000007
2022-04-14 91.3000000000008
2022-04-15 95.6500000000008
2022-04-16 98.7000000000008
2022-04-17 101.450000000001
2022-04-18 106.000000000001
2022-04-19 110.550000000001
2022-04-20 114.200000000001
2022-04-21 117.750000000001
2022-04-22 123.100000000001
2022-04-23 129.250000000001
2022-04-24 134.500000000001
2022-04-25 137.650000000001
2022-04-26 140.200000000001
2022-04-27 145.550000000001
2022-04-28 152.000000000001
2022-04-29 158.350000000001
2022-04-30 160.900000000001
2022-05-01 165.550000000001
2022-05-02 173.300000000001
2022-05-03 181.150000000001
2022-05-04 187.900000000001
2022-05-05 194.750000000001
2022-05-06 202.900000000001
2022-05-07 212.250000000001
2022-05-08 220.300000000001
2022-05-09 230.450000000001
2022-05-10 243.300000000001
2022-05-11 258.650000000001
2022-05-12 269.700000000001
2022-05-13 277.550000000001
2022-05-14 286.700000000001
2022-05-15 297.750000000001
2022-05-16 308.700000000001
2022-05-17 320.750000000001
2022-05-18 335.700000000001
2022-05-19 349.750000000001
2022-05-20 361.700000000001
2022-05-21 369.750000000001
2022-05-22 378.900000000001
2022-05-23 389.750000000001
2022-05-24 398.100000000001
2022-05-25 407.150000000001
2022-05-26 417.800000000001
2022-05-27 426.550000000001
2022-05-28 432.400000000001
2022-05-29 435.950000000001
2022-05-30 440.300000000001
2022-05-31 446.450000000001
2022-06-01 453.300000000001
2022-06-02 460.750000000001
2022-06-03 472.400000000001
2022-06-04 485.650000000002
2022-06-05 497.300000000002
2022-06-06 508.750000000002
2022-06-07 519.200000000002
2022-06-08 529.550000000002
2022-06-09 538.800000000002
2022-06-10 549.850000000002
2022-06-11 563.700000000002
2022-06-12 577.350000000002
2022-06-13 586.500000000002
2022-06-14 596.550000000002
2022-06-15 610.700000000002
2022-06-16 623.650000000002
2022-06-17 637.200000000002
2022-06-18 656.250000000002
2022-06-19 673.500000000002
2022-06-20 682.050000000002
2022-06-21 691.900000000002
2022-06-22 706.050000000002
2022-06-23 723.200000000002
2022-06-24 737.250000000002
2022-06-25 752.000000000002
2022-06-26 766.750000000002
2022-06-27 779.300000000002
2022-06-28 791.450000000002
2022-06-29 806.800000000002
2022-06-30 823.750000000002
2022-07-01 834.100000000002
2022-07-02 847.350000000002
2022-07-03 863.000000000002
2022-07-04 876.050000000002
2022-07-05 888.700000000002
2022-07-06 898.750000000002
2022-07-07 908.900000000002
2022-07-08 919.850000000002
2022-07-09 931.900000000002
2022-07-10 940.750000000002
2022-07-11 951.600000000002
2022-07-12 965.650000000002
2022-07-13 979.600000000002
2022-07-14 993.450000000002
2022-07-15 1003.4
2022-07-16 1014.45
2022-07-17 1026.8
2022-07-18 1044.45
2022-07-19 1066
2022-07-20 1086.85
2022-07-21 1100.8
2022-07-22 1114.75
2022-07-23 1128.7
2022-07-24 1145.55
2022-07-25 1163.3
2022-07-26 1176.35
2022-07-27 1187
2022-07-28 1199.25
2022-07-29 1212.7
2022-07-30 1225.95
2022-07-31 1241.4
2022-08-01 1256.45
2022-08-02 1271.7
2022-08-03 1290.55
2022-08-04 1311.2
2022-08-05 1325.25
2022-08-06 1335.7
2022-08-07 1347.95
2022-08-08 1362.6
2022-08-09 1378.25
2022-08-10 1394.7
2022-08-11 1411.55
2022-08-12 1428.4
2022-08-13 1445.45
2022-08-14 1463.1
2022-08-15 1478.65
2022-08-16 1494.6
2022-08-17 1511.35
2022-08-18 1526.2
2022-08-19 1542.45
2022-08-20 1556.7
2022-08-21 1570.55
2022-08-22 1586.1
2022-08-23 1603.45
2022-08-24 1621.2
2022-08-25 1638.85
2022-08-26 1655.6
2022-08-27 1669.25
2022-08-28 1682.1
2022-08-29 1693.45
2022-08-30 1707
2022-08-31 1719.65
2022-09-01 1732.2
2022-09-02 1744.95
2022-09-03 1756.1
2022-09-04 1770.05
2022-09-05 1786.5
2022-09-06 1802.75
2022-09-07 1817.5
2022-09-08 1828.75
2022-09-09 1839.6
2022-09-10 1849.25
2022-09-11 1859.8
2022-09-12 1870.65
2022-09-13 1883.3
2022-09-14 1893.45
2022-09-15 1902
2022-09-16 1908.55
2022-09-17 1913.4
2022-09-18 1917.25
2022-09-19 1922.7
2022-09-20 1927.55
2022-09-21 1931.3
2022-09-22 1937.45
2022-09-23 1943.1
2022-09-24 1950.35
2022-09-25 1956.3
2022-09-26 1960.75
2022-09-27 1964.6
2022-09-28 1967.55
2022-09-29 1970.3
2022-09-30 1973.65
2022-10-01 1979
2022-10-02 1985.75
2022-10-03 1991.3
2022-10-04 1996.35
2022-10-05 2004
2022-10-06 2011.45
2022-10-07 2016.5
2022-10-08 2020.95
2022-10-09 2024.3
2022-10-10 2029.95
2022-10-11 2032.8
2022-10-12 2035.95
2022-10-13 2040.9
2022-10-14 2048.35
2022-10-15 2057.4
2022-10-16 2067.25
2022-10-17 2078.8
2022-10-18 2088.05
2022-10-19 2091
2022-10-20 2094.35
2022-10-21 2102
2022-10-22 2110.15
2022-10-23 2117.4
2022-10-24 2126.65
2022-10-25 2134
2022-10-26 2141.65
2022-10-27 2149.8
2022-10-28 2161.05
2022-10-29 2170.8
2022-10-30 2180.25
2022-10-31 2187.5
2022-11-01 2194.85
2022-11-02 2199.6
2022-11-03 2203.25000000001
2022-11-04 2207.00000000001
2022-11-05 2209.05
2022-11-06 2210.50000000001
2022-11-07 2215.75000000001
2022-11-08 2220.90000000001
2022-11-09 2227.25000000001
2022-11-10 2230.90000000001
2022-11-11 2232.35000000001
2022-11-12 2234.00000000001
2022-11-13 2235.25000000001
2022-11-14 2235.30000000001
2022-11-15 2240.35000000001
2022-11-16 2244.30000000001
2022-11-17 2247.45000000001
2022-11-18 2248.40000000001
2022-11-19 2248.40000000001
2022-11-20 2248.40000000001
2022-11-21 2248.40000000001
2022-11-22 2248.65000000001
2022-11-23 2249.60000000001
2022-11-24 2250.65000000001
2022-11-25 2251.10000000001
2022-11-26 2251.10000000001
2022-11-27 2251.10000000001
2022-11-28 2251.10000000001
2022-11-29 2252.15000000001
2022-11-30 2252.80000000001
2022-12-01 2252.80000000001
2022-12-02 2252.80000000001
2022-12-03 2252.80000000001
2022-12-04 2252.80000000001
2022-12-05 NA
2022-12-06 NA
2022-12-07 NA
2022-12-08 NA
2022-12-09 NA
2022-12-10 NA
2022-12-11 NA
2022-12-12 NA
2022-12-13 NA
2022-12-14 NA
2022-12-15 NA
2022-12-16 NA
2022-12-17 NA
2022-12-18 NA
2022-12-19 NA
2022-12-20 NA
2022-12-21 NA
2022-12-22 NA
2022-12-23 NA
2022-12-24 NA
2022-12-25 NA
2022-12-26 NA
2022-12-27 NA
2022-12-28 NA
2022-12-29 NA
2022-12-30 NA
2022-12-31 NA
