Date GDD
2022-04-11 6.55
2022-04-12 16.2
2022-04-13 27.35
2022-04-14 38
2022-04-15 49.65
2022-04-16 59.8
2022-04-17 68.5500000000001
2022-04-18 76.5000000000001
2022-04-19 85.2500000000002
2022-04-20 93.0000000000003
2022-04-21 102.55
2022-04-22 111
2022-04-23 119.15
2022-04-24 125
2022-04-25 132.05
2022-04-26 140
2022-04-27 148.95
2022-04-28 160.2
2022-04-29 170.85
2022-04-30 179.7
2022-05-01 188.35
2022-05-02 198.100000000001
2022-05-03 207.75
2022-05-04 218.000000000001
2022-05-05 224.850000000001
2022-05-06 233.400000000001
2022-05-07 243.550000000001
2022-05-08 253.700000000001
2022-05-09 265.250000000001
2022-05-10 278.800000000001
2022-05-11 294.350000000001
2022-05-12 309.800000000001
2022-05-13 325.050000000001
2022-05-14 340.400000000001
2022-05-15 355.450000000001
2022-05-16 370.000000000001
2022-05-17 386.350000000001
2022-05-18 404.100000000001
2022-05-19 422.450000000001
2022-05-20 440.700000000001
2022-05-21 459.450000000001
2022-05-22 477.600000000001
2022-05-23 494.350000000001
2022-05-24 505.400000000001
2022-05-25 517.150000000001
2022-05-26 530.000000000001
2022-05-27 543.950000000001
2022-05-28 556.800000000001
2022-05-29 567.150000000001
2022-05-30 578.400000000001
2022-05-31 588.350000000001
2022-06-01 601.600000000001
2022-06-02 617.350000000002
2022-06-03 634.400000000001
2022-06-04 653.650000000002
2022-06-05 669.700000000002
2022-06-06 685.750000000002
2022-06-07 699.500000000002
2022-06-08 710.950000000002
2022-06-09 721.100000000002
2022-06-10 734.250000000002
2022-06-11 750.200000000002
2022-06-12 767.950000000002
2022-06-13 785.300000000002
2022-06-14 802.850000000002
2022-06-15 821.800000000002
2022-06-16 842.750000000002
2022-06-17 863.800000000002
2022-06-18 884.550000000002
2022-06-19 907.300000000002
2022-06-20 929.850000000002
2022-06-21 951.000000000002
2022-06-22 968.150000000002
2022-06-23 984.600000000002
2022-06-24 997.950000000002
2022-06-25 1013.6
2022-06-26 1030.55
2022-06-27 1045.1
2022-06-28 1058.45
2022-06-29 1075.7
2022-06-30 1091.25
2022-07-01 1104
2022-07-02 1120.05
2022-07-03 1139.7
2022-07-04 1156.65
2022-07-05 1173.7
2022-07-06 1190.75
2022-07-07 1206.3
2022-07-08 1221.95
2022-07-09 1238.8
2022-07-10 1256.45
2022-07-11 1274.7
2022-07-12 1294.15
2022-07-13 1315.1
2022-07-14 1337.55
2022-07-15 1358.1
2022-07-16 1378.35
2022-07-17 1399.5
2022-07-18 1422.25
2022-07-19 1446.4
2022-07-20 1469.15
2022-07-21 1489.8
2022-07-22 1512.15
2022-07-23 1532.2
2022-07-24 1554.15
2022-07-25 1576.8
2022-07-26 1595.15
2022-07-27 1613.2
2022-07-28 1632.15
2022-07-29 1646.9
2022-07-30 1664.35
2022-07-31 1684.3
2022-08-01 1705.15
2022-08-02 1726.2
2022-08-03 1748.35
2022-08-04 1771.3
2022-08-05 1792.05
2022-08-06 1811.2
2022-08-07 1829.65
2022-08-08 1849.1
2022-08-09 1870.05
2022-08-10 1891.3
2022-08-11 1912.75
2022-08-12 1934.3
2022-08-13 1954.85
2022-08-14 1968.2
2022-08-15 1982.95
2022-08-16 2000.5
2022-08-17 2017.15
2022-08-18 2030.8
2022-08-19 2044.05
2022-08-20 2059.4
2022-08-21 2075.75
2022-08-22 2092.2
2022-08-23 2110.05
2022-08-24 2128.3
2022-08-25 2147.65
2022-08-26 2164.2
2022-08-27 2179.35
2022-08-28 2196.1
2022-08-29 2214.55
2022-08-30 2230.3
2022-08-31 2246.15
2022-09-01 2262
2022-09-02 2276.45
2022-09-03 2291.6
2022-09-04 2308.45
2022-09-05 2326.7
2022-09-06 2343.95
2022-09-07 2359.7
2022-09-08 2373.95
2022-09-09 2387.3
2022-09-10 2400.15
2022-09-11 2413
2022-09-12 2428.45
2022-09-13 2445.4
2022-09-14 2461.35
2022-09-15 2475.2
2022-09-16 2487.15
2022-09-17 2495
2022-09-18 2502.55
2022-09-19 2511.4
2022-09-20 2520.05
2022-09-21 2529.1
2022-09-22 2538.45
2022-09-23 2548.6
2022-09-24 2558.85
2022-09-25 2567.4
2022-09-26 2575.75
2022-09-27 2582.5
2022-09-28 2590.85
2022-09-29 2597.7
2022-09-30 2603.05
2022-10-01 2609.9
2022-10-02 2622.45
2022-10-03 2633.8
2022-10-04 2643.55
2022-10-05 2654.9
2022-10-06 2665.95
2022-10-07 2677.1
2022-10-08 2686.25
2022-10-09 2695.8
2022-10-10 2707.75
2022-10-11 2718.2
2022-10-12 2728.95
2022-10-13 2737.4
2022-10-14 2747.65
2022-10-15 2760.3
2022-10-16 2772.85
2022-10-17 2785.2
2022-10-18 2796.85
2022-10-19 2808.2
2022-10-20 2819.85
2022-10-21 2831.1
2022-10-22 2843.05
2022-10-23 2855.1
2022-10-24 2865.05
2022-10-25 2874.6
2022-10-26 2886.75
2022-10-27 2898.5
2022-10-28 2910.85
2022-10-29 2922
2022-10-30 2933.05
2022-10-31 2944.1
2022-11-01 2953.15
2022-11-02 2960
2022-11-03 2964.85
2022-11-04 2967
2022-11-05 2970.45
2022-11-06 2974.1
2022-11-07 2980.05
2022-11-08 2986.6
2022-11-09 2993.05
2022-11-10 2998.9
2022-11-11 3003.05
2022-11-12 3007.1
2022-11-13 3011.55
2022-11-14 3016.9
2022-11-15 3023.85
2022-11-16 3030
2022-11-17 3036.85
2022-11-18 3040.3
2022-11-19 3040.55
2022-11-20 3041.8
2022-11-21 3043.15
2022-11-22 3043.7
2022-11-23 3043.7
2022-11-24 3044.95
2022-11-25 3047.1
2022-11-26 3047.65
2022-11-27 3048.8
2022-11-28 3049.75000000001
2022-11-29 3050.1
2022-11-30 3050.15000000001
2022-12-01 3050.15000000001
2022-12-02 3050.15000000001
2022-12-03 3050.15000000001
2022-12-04 3050.15000000001
2022-12-05 NA
2022-12-06 NA
2022-12-07 NA
2022-12-08 NA
2022-12-09 NA
2022-12-10 NA
2022-12-11 NA
2022-12-12 NA
2022-12-13 NA
2022-12-14 NA
2022-12-15 NA
2022-12-16 NA
2022-12-17 NA
2022-12-18 NA
2022-12-19 NA
2022-12-20 NA
2022-12-21 NA
2022-12-22 NA
2022-12-23 NA
2022-12-24 NA
2022-12-25 NA
2022-12-26 NA
2022-12-27 NA
2022-12-28 NA
2022-12-29 NA
2022-12-30 NA
2022-12-31 NA
