Date GDD
2022-02-10 0.95000000000005
2022-02-11 0.95000000000005
2022-02-12 0.95000000000005
2022-02-13 0.95000000000005
2022-02-14 1.20000000000011
2022-02-15 1.20000000000011
2022-02-16 1.20000000000011
2022-02-17 5.85000000000014
2022-02-18 10.2000000000002
2022-02-19 10.8500000000002
2022-02-20 12.6000000000003
2022-02-21 12.6000000000003
2022-02-22 13.5500000000003
2022-02-23 14.1000000000003
2022-02-24 14.5500000000004
2022-02-25 14.5500000000004
2022-02-26 14.5500000000004
2022-02-27 14.5500000000004
2022-02-28 14.5500000000004
2022-03-01 14.5500000000004
2022-03-02 15.5000000000004
2022-03-03 18.5500000000004
2022-03-04 20.1000000000004
2022-03-05 20.1000000000004
2022-03-06 20.1000000000004
2022-03-07 20.1000000000004
2022-03-08 20.1000000000004
2022-03-09 21.2500000000005
2022-03-10 23.1000000000005
2022-03-11 26.1500000000005
2022-03-12 30.0000000000005
2022-03-13 32.8500000000005
2022-03-14 36.2000000000005
2022-03-15 42.1500000000005
2022-03-16 47.5000000000005
2022-03-17 52.6500000000005
2022-03-18 57.6000000000006
2022-03-19 61.5500000000007
2022-03-20 65.3000000000007
2022-03-21 69.0500000000008
2022-03-22 71.9000000000008
2022-03-23 75.5500000000008
2022-03-24 79.8000000000009
2022-03-25 84.6500000000009
2022-03-26 89.2000000000009
2022-03-27 94.2500000000009
2022-03-28 100.200000000001
2022-03-29 106.950000000001
2022-03-30 111.200000000001
2022-03-31 113.250000000001
2022-04-01 113.250000000001
2022-04-02 113.250000000001
2022-04-03 113.250000000001
2022-04-04 113.250000000001
2022-04-05 113.250000000001
2022-04-06 115.600000000001
2022-04-07 118.550000000001
2022-04-08 122.300000000001
2022-04-09 122.300000000001
2022-04-10 122.300000000001
2022-04-11 126.950000000001
2022-04-12 135.200000000001
2022-04-13 144.450000000001
2022-04-14 152.700000000002
2022-04-15 161.650000000002
2022-04-16 170.100000000002
2022-04-17 177.050000000002
2022-04-18 182.600000000002
2022-04-19 188.650000000002
2022-04-20 194.000000000002
2022-04-21 200.850000000002
2022-04-22 207.100000000002
2022-04-23 213.050000000002
2022-04-24 217.200000000002
2022-04-25 222.450000000002
2022-04-26 228.300000000002
2022-04-27 234.550000000002
2022-04-28 242.900000000002
2022-04-29 251.250000000002
2022-04-30 257.700000000002
2022-05-01 264.050000000002
2022-05-02 270.700000000002
2022-05-03 277.550000000002
2022-05-04 285.600000000002
2022-05-05 290.450000000002
2022-05-06 297.800000000002
2022-05-07 306.150000000002
2022-05-08 314.100000000002
2022-05-09 323.650000000002
2022-05-10 335.500000000002
2022-05-11 349.650000000002
2022-05-12 364.000000000002
2022-05-13 377.650000000002
2022-05-14 391.500000000002
2022-05-15 404.650000000002
2022-05-16 417.400000000002
2022-05-17 432.250000000002
2022-05-18 448.200000000002
2022-05-19 464.550000000002
2022-05-20 481.800000000002
2022-05-21 498.950000000002
2022-05-22 515.600000000002
2022-05-23 531.250000000002
2022-05-24 541.500000000002
2022-05-25 552.050000000002
2022-05-26 564.200000000002
2022-05-27 577.650000000002
2022-05-28 590.000000000002
2022-05-29 599.750000000002
2022-05-30 609.900000000002
2022-05-31 618.550000000002
2022-06-01 631.000000000002
2022-06-02 645.150000000002
2022-06-03 660.400000000002
2022-06-04 678.150000000002
2022-06-05 693.100000000003
2022-06-06 708.150000000002
